Time: 2/19/2024, 6:38:00 PM, maker Vol: 130090 , maker rebates:10.4072 | taker Vol: 0 | net profit: 10.4072
Time: 2/19/2024, 6:40:00 PM, maker Vol: 130090 , maker rebates:10.4072 | taker Vol: 0 | net profit: 10.4072
Time: 2/19/2024, 6:42:00 PM, maker Vol: 132090 , maker rebates:10.5672 | taker Vol: 0 | net profit: 10.5672
Time: 2/19/2024, 6:44:00 PM, maker Vol: 132090 , maker rebates:10.5672 | taker Vol: 0 | net profit: 10.5672
Time: 2/19/2024, 6:46:00 PM, maker Vol: 133990 , maker rebates:10.7192 | taker Vol: 0 | net profit: 10.7192
Time: 2/19/2024, 6:48:00 PM, maker Vol: 133990 , maker rebates:10.7192 | taker Vol: 0 | net profit: 10.7192
Time: 2/19/2024, 6:50:00 PM, maker Vol: 133990 , maker rebates:10.7192 | taker Vol: 0 | net profit: 10.7192
Time: 2/16/2024, 8:58:03 PM, maker Vol: 37967 , maker rebates:3.03736 | taker Vol: 100 | net profit: 2.96236
Time: 2/16/2024, 9:00:03 PM, maker Vol: 50190 , maker rebates:4.0152 | taker Vol: 100 | net profit: 3.9402
Time: 2/16/2024, 9:02:03 PM, maker Vol: 56720 , maker rebates:4.5376 | taker Vol: 300 | net profit: 4.3126
Time: 2/16/2024, 9:04:03 PM, maker Vol: 60689 , maker rebates:4.85512 | taker Vol: 338 | net profit: 4.60162
Time: 2/16/2024, 9:06:03 PM, maker Vol: 61395 , maker rebates:4.9116 | taker Vol: 338 | net profit: 4.6581
Time: 2/16/2024, 9:08:03 PM, maker Vol: 65114 , maker rebates:5.20912 | taker Vol: 379.16 | net profit: 4.92475
Time: 2/16/2024, 9:10:03 PM, maker Vol: 65114 , maker rebates:5.20912 | taker Vol: 379.16 | net profit: 4.92475
Time: 2/16/2024, 9:12:03 PM, maker Vol: 66763 , maker rebates:5.34104 | taker Vol: 379.16 | net profit: 5.05667
Time: 2/16/2024, 9:14:03 PM, maker Vol: 66763 , maker rebates:5.34104 | taker Vol: 379.16 | net profit: 5.05667
Time: 2/16/2024, 9:16:03 PM, maker Vol: 68412 , maker rebates:5.47296 | taker Vol: 379.16 | net profit: 5.18859
Time: 2/16/2024, 9:18:03 PM, maker Vol: 68412 , maker rebates:5.47296 | taker Vol: 379.16 | net profit: 5.18859
Time: 2/16/2024, 9:20:03 PM, maker Vol: 68412 , maker rebates:5.47296 | taker Vol: 379.16 | net profit: 5.18859
Time: 2/16/2024, 9:22:03 PM, maker Vol: 70059 , maker rebates:5.60472 | taker Vol: 379.16 | net profit: 5.32035
Time: 2/16/2024, 9:24:03 PM, maker Vol: 70059 , maker rebates:5.60472 | taker Vol: 379.16 | net profit: 5.32035
Time: 2/16/2024, 9:26:03 PM, maker Vol: 70059 , maker rebates:5.60472 | taker Vol: 379.16 | net profit: 5.32035
Time: 2/16/2024, 9:28:03 PM, maker Vol: 70059 , maker rebates:5.60472 | taker Vol: 379.16 | net profit: 5.32035
Time: 2/16/2024, 9:30:03 PM, maker Vol: 70059 , maker rebates:5.60472 | taker Vol: 379.16 | net profit: 5.32035
Time: 2/16/2024, 9:32:03 PM, maker Vol: 71705 , maker rebates:5.7364 | taker Vol: 379.16 | net profit: 5.45203
Time: 2/16/2024, 9:34:03 PM, maker Vol: 71705 , maker rebates:5.7364 | taker Vol: 379.16 | net profit: 5.45203
Time: 2/16/2024, 9:36:03 PM, maker Vol: 72505 , maker rebates:5.8004 | taker Vol: 379.16 | net profit: 5.51603
Time: 2/16/2024, 9:38:03 PM, maker Vol: 72505 , maker rebates:5.8004 | taker Vol: 379.16 | net profit: 5.51603
